Open Gender-Term,"ISO 25964-2 (MARC 7XX-$4)

",GND-Term ,GND Identifier,Synonyme 
Ableismus,=EQ,Ableismus,1276051255,
Abtreibungsdebatte,,,,
Abtreibungsgegner,,,,
Abtreibungsverbot,,,,
Adoption,=EQ,Adoption,4000522-7,
Affekt,=EQ,Affekt,4135470-9,
Agency,EQ,Handlungskompetenz ,4125926-9,Handlungskompetenz 
AIDS,=EQ,Aids,4112470-4,
Aktivismus,=EQ,Aktivismus,4000973-7,
Alleinerziehende,EQ,Alleinerziehende Mutter,4001238-4,
Alleinlebende,EQ,Alleinstehender,4001240-2,
Allgemeines Gleichbehandlungsgesetz,=EQ,Allgemeines Gleichbehandlungsgesetz,7542750-3,
Alltag,=EQ,Alltag,4001307-8,
Alter,=EQ,Alter,4001446-0,
Alterssicherung,~EQ,Altersversorgung ,4001479-4,Altersversorgung 
Androgynie,BM,Androgynie <Psychologie>,4001967-6,
Androzentrismus,=EQ,Androzentrismus,1223001903,
Anerkennung,=EQ,Anerkennung,4128520-7,
Antidiskriminierung,,,1035294273,
Antifaschismus,=EQ,Antifaschismus,4122803-0,
Antifeminismus,EQ|,Frauenfeindlichkeit,4155231-3,Frauenfeindlichkeit 
Antirassismus,=EQ,Antirassismus,4275311-9,
Antisemitismus,=EQ,Antisemitismus,1235847462,
Antiziganismus,=EQ,Antiziganismus,4808992-8,
Arbeit,=EQ,Arbeit,1136593101,
Arbeitskampf,=EQ,Arbeitskampf,4002702-8,
Arbeitsmarkt,=EQ,Arbeitsmarkt,4002733-8,
Arbeitsteilung,=EQ,Arbeitsteilung,4002787-9,
Arbeitsverhältnis,=EQ,Arbeitsverhältnis,4002799-5,
Architektur,=EQ,Architektur,4002851-3,
Armut,=EQ,Armut,1234066785,
Ästhetik,=EQ,Ästhetik,1207079987,
Asyl,=EQ,Asyl,4143260-5,
Ausbeutung,=EQ,Ausbeutung,4003677-7,
Ausbildung,=EQ,Ausbildung,4112628-2,
Autonomie,=EQ,Autonomie,1067437622,
Begehren,=EQ,Begehren,300735928,
Behinderung,=EQ,Behinderung,4112696-8,
Beratung,=EQ,Beratung,4005565-6,
Beruf,=EQ,Beruf,4005857-8,
Berufstätigkeit,=EQ,Berufstätigkeit,4069349-1,
Berufsverbot,=EQ,Berufsverbot,4005959-5,
Berufswahl,=EQ,Berufswahl,4005962-5,
Beschneidung,EQ|,Beschneidung <Frau> oder Beschneidung <Mann>,7648122-0 oder 4144874-1,Beschneidung <Mann>
Bevölkerung,=EQ,Bevölkerung,4006287-9,
Bewusstsein,=EQ,Bewusstsein,4006349-5,
Beziehung,=EQ,Beziehung,4145198-3,
Bildung,=EQ,Bildung,1085646750,
Bildungsarbeit,=EQ,Bildungsarbeit,4112760-2,
Bildungssystem,=EQ,Bildungssystem,4069467-7,
Biografieforschung,=EQ,Biografieforschung,4132300-2,
Biologie,=EQ,Biologie,4006851-1,
Biologismus,=EQ,Biologismus,4232000-8,
Biopolitik,=EQ,Biopolitik,4137810-6,
Bisexualität,=EQ,Bisexualität,4006963-1,
Care,=EQ,Care,4648135-7,
Chancengleichheit,=EQ,Chancengleichheit,4009736-5,
Christentum,=EQ,Christentum,4010074-1,
Coming-out,=EQ,Coming-out,4300693-0,
Computerspiel,=EQ,Computerspiel,4010457-6,
Cross-dressing,EQ,Crossdressing,1103153943,
Cyborg,=EQ,Cyborg,4786457-6,
DDR,EQ,Deutschland (DDR),4011890-3,
Debatte,=EQ,Debatte,4148952-4,
Dekonstruktion,=EQ,Dekonstruktion,4149032-0,
Demografie,=EQ,Demographie,4011412-0,
Demokratie,=EQ,Demokratie,4011413-2,
Depression,=EQ,Depression,4011474-0,
Diaspora,=EQ,Diaspora,1231305827,
Dichotomie,=EQ,Dichotomie,300727208,
Dienstleistungssektor,=EQ,Dienstleistungssektor,4012183-5,
Digitalisierung,=EQ,Digitalisierung,4123065-6,
Diskriminierung,=EQ,Diskriminierung,4012472-1,
Diskurs,=EQ,Diskurs,300471955,
Disziplinarität,,,,
Diversität,RM,Heterogenität,4201275-2,Heterogenität
Diversity Management,=EQ,Diversity Management,7611361-9,
Doing Gender,,,,
Drag,=EQ,Drag,1176239244,
Ehe,=EQ,Ehe,4013630-9,
Ehegattensplitting,=EQ,Ehegattensplitting,7503178-4,
Ehrenamt,=EQ,Ehrenamt,4121161-3,
Eigentum,=EQ,Eigentum,4013793-4,
Einkommen,=EQ,Einkommen,4013887-2,
Eltern,=EQ,Eltern,4014516-5,
Elternschaft,=EQ,Elternschaft,4152054-3,
Emanzipation,=EQ,Emanzipation,4130667-3,
Entwicklung,=EQ,Entwicklung,1171380917,
Entwicklungszusammenarbeit,=EQ,Entwicklungszusammenarbeit,4198756-1,
Epistemologie,BM,Genetische Epistemologie,4135354-7,
Erfahrung,=EQ,Erfahrung,1239135211,
Erinnerungskultur,,,,
Ernährung,=EQ,Ernährung,4015332-0,
Erotik,=EQ,Erotik,4015369-1,
Erwachsenenbildung,=EQ,Erwachsenenbildung,4015428-2,
Erwerbsarbeit,EQ,Arbeit,4002567-6,
Erwerbslosigkeit,EQ,Arbeitslosigkeit ,4002730-2,Arbeitslosigkeit 
Erwerbstätigkeit,EQ,Berufstätigkeit,4069349-1,
Erziehung,=EQ,Erziehung,4015482-8,
Essentialismus,=EQ,Essentialismus,4113474-6,
Essstörung,=EQ,Essstörung,4113475-8,
Ethik,=EQ,Ethik,1088045626,
Ethnizität,=EQ,Ethnizität,4220764-2,
Ethnozentrismus,=EQ,Ethnozentrismus,4070982-6,
Europäische Union,=EQ,Europäische Union,5098525-5,
Eurozentrismus,=EQ,Eurozentrismus,4200132-8,
Exil,=EQ,Exil,1026311314,
Familie,=EQ,Familie,123631333X,
Familienbild,=EQ,Familienbild,1103153382,
Familienform,,,,
Familienpolitik,=EQ,Familienpolitik,4016418-4,
Faschismus,=EQ,Faschismus,4016494-9,
Female Genital Cutting,,,,
Female Genital Mutilation,,,,
Feminisierung,=EQ,Feminisierung,4397368-1,
Feminismus,=EQ,Feminismus,4222126-2,
Faschismus,,,,
Film,=EQ,Film ,4017102-4,
Flucht,=EQ,Flucht,1274267641,
Frauen,=EQ,Frauen,1142536149,
Frauen in Führungspositionen,,,,
Frauenanteil,NM,Geschlechterverhältnis <Demographie>,4243608-4,Geschlechterverhältnis <Demographie>
Frauenbeauftragte,,,,
Frauenberuf,=EQ,Frauenberuf,1201699207,
Frauenbewegung,=EQ,Frauenbewegung,4071428-7,
Frauenbild,=EQ,Frauenbild,4125057-6,
Frauenfeindlichkeit,=EQ,Frauenfeindlichkeit,4155231-3,
Frauenförderung,=EQ,Frauenförderung,4226107-7,
Frauenforschung,=EQ,Frauenforschung,4244891-8,
Frauengeschichte,,,,
Frauenhaus,=EQ,Frauenhaus,4155233-7,
Frauenorganisation,EQ,Frauenverband ,4155246-5,Frauenverband 
Frauenpolitik,=EQ,Frauenpolitik,4113623-8,
Frauenrechte,,,,
Frauenstudium,=EQ,Frauenstudium,4129623-0,
Frauenuniversität,=EQ,Frauenuniversität,4470659-5,
Frauenwahlrecht,=EQ,Frauenwahlrecht,120484805X,
Freundschaft,=EQ,Freundschaft,4018480-8,
Fundamentalismus,=EQ,Fundamentalismus,4137178-1,
Geburtenkontrolle,~EQ,Geburtenregelung ,4019593-4,Geburtenregelung 
Gefühl,=EQ,Gefühl,4019702-5,
Gender,,,,
Gender Bias,,,,
Gender Budgeting,,,,
Gender Mainstreaming,=EQ,Gender Mainstreaming,4845903-3,
Gender Pay Gap,=EQ,Gender Pay Gap,1314965875,
Genderkompetenz,,,,
Generation,=EQ,Generation,4259035-8,
Genetik,=EQ,Genetik,4071711-2,
Genozid,EQ,Völkermord ,4063690-2,Völkermord 
Gentechnologie,=EQ,Gentechnologie,4071722-7,
Gerechtigkeit,=EQ,Gerechtigkeit,4020310-4,
Geschichte,=EQ,Geschichte,4020517-4,
Geschlecht,=EQ,Geschlecht,4020547-2,
Geschlechterbild,,,,
Geschlechterdifferenz,EQ,Geschlechterunterschied ,4071781-1,Geschlechterunterschied 
Geschlechterforschung,=EQ,Geschlechterforschung,4482930-9,
Geschlechtergerechte Sprache,=EQ,Geschlechtergerechte Sprache,1186727241,
Geschlechterkonstruktion,,,,
Geschlechterordnung,,,,
Geschlechterrolle,=EQ,Geschlechterrolle,4071776-8,
Geschlechterstereotyp,=EQ,Geschlechterstereotyp,4157010-8,
Geschlechterverhältnis,=EQ,Geschlechterverhältnis,4020548-4,
Geschlechtsidentität,=EQ,Geschlechtsidentität,4181116-1,
Geschlechtsspezifik,,,,
